glyph_name,ps_name,sort_final
.notdef,.notdef,1001
space,space,1002
exclam,exclam,1003
quotedbl,quotedbl,1004
numbersign,numbersign,1005
dollar,dollar,1006
percent,percent,1007
ampersand,ampersand,1008
quotesingle,quotesingle,1009
parenleft,parenleft,1010
parenright,parenright,1011
asterisk,asterisk,1012
plus,plus,1013
comma,comma,1014
hyphen,hyphen,1015
period,period,1016
slash,slash,1017
zero,zero,1018
one,one,1019
two,two,1020
three,three,1021
four,four,1022
five,five,1023
six,six,1024
seven,seven,1025
eight,eight,1026
nine,nine,1027
colon,colon,1028
semicolon,semicolon,1029
less,less,1030
equal,equal,1031
greater,greater,1032
question,question,1033
at,at,1034
A,A,1035
B,B,1036
C,C,1037
D,D,1038
E,E,1039
F,F,1040
G,G,1041
H,H,1042
I,I,1043
J,J,1044
K,K,1045
L,L,1046
M,M,1047
N,N,1048
O,O,1049
P,P,1050
Q,Q,1051
R,R,1052
S,S,1053
T,T,1054
U,U,1055
V,V,1056
W,W,1057
X,X,1058
Y,Y,1059
Z,Z,1060
bracketleft,bracketleft,1061
backslash,backslash,1062
bracketright,bracketright,1063
asciicircum,asciicircum,1064
underscore,underscore,1065
grave,grave,1066
a,a,1067
b,b,1068
c,c,1069
d,d,1070
e,e,1071
f,f,1072
g,g,1073
h,h,1074
i,i,1075
j,j,1076
k,k,1077
l,l,1078
m,m,1079
n,n,1080
o,o,1081
p,p,1082
q,q,1083
r,r,1084
s,s,1085
t,t,1086
u,u,1087
v,v,1088
w,w,1089
x,x,1090
y,y,1091
z,z,1092
braceleft,braceleft,1093
bar,bar,1094
braceright,braceright,1095
asciitilde,asciitilde,1096
uni00A0,uni00A0,1097
exclamdown,exclamdown,1098
cent,cent,1099
sterling,sterling,1100
currency,currency,1101
yen,yen,1102
brokenbar,brokenbar,1103
section,section,1104
dieresis,dieresis,1105
copyright,copyright,1106
ordfeminine,ordfeminine,1107
guillemotleft,guillemotleft,1108
logicalnot,logicalnot,1109
uni00AD,uni00AD,1110
registered,registered,1111
macron,macron,1112
degree,degree,1113
plusminus,plusminus,1114
two.sups,two.sups,1115
three.sups,three.sups,1116
acute,acute,1117
mu,mu,1118
paragraph,paragraph,1119
periodcentered,periodcentered,1120
cedilla,cedilla,1121
one.sups,one.sups,1122
ordmasculine,ordmasculine,1123
